순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
262.0,066970,엘앤에프,,2019-12-30,KOSDAQ,8.39,4.03,-19.74,-39.7,4.8,20351.0,2020,2020-01
263.0,950160,코오롱티슈진,,2019-12-30,KOSDAQ,0.0,0.0,0.0,-81.44,0.0,16050.0,2020,2020-01
264.0,069620,대웅제약,,2019-12-30,KOSPI,3.77,-7.72,-8.33,-27.06,-14.2,137500.0,2020,2020-01
265.0,278280,천보,,2019-12-30,KOSDAQ,14.93,-6.24,-17.87,0.0,12.0,61600.0,2020,2020-01
266.0,007310,오뚜기,,2019-12-30,KOSPI,-0.54,-4.97,-19.12,-23.48,-8.5,554000.0,2020,2020-01
267.0,003240,태광산업,,2019-12-30,KOSPI,-1.3,-6.19,-19.7,-19.7,-12.0,1060000.0,2020,2020-01
268.0,042660,대우조선해양,,2019-12-30,KOSPI,5.69,-8.99,-14.83,-18.45,-11.3,24742.0,2020,2020-01
269.0,024110,기업은행,,2019-12-30,KOSPI,0.43,-10.61,-16.01,-16.01,-8.9,11800.0,2020,2020-01
270.0,000720,현대건설,,2019-12-30,KOSPI,3.3,-8.64,-21.08,-22.53,-9.7,41157.0,2020,2020-01
271.0,006360,GS건설,,2019-12-30,KOSPI,3.5,-5.91,-23.05,-29.03,-9.8,31050.0,2020,2020-01
272.0,000150,두산,,2019-12-30,KOSPI,3.08,-15.81,-11.2,-19.96,-10.8,70300.0,2020,2020-01
273.0,081660,휠라코리아,,2019-12-30,KOSPI,2.71,-8.46,-30.9,-0.93,-16.6,53000.0,2020,2020-01
274.0,151910,나노스,,2019-12-30,KOSDAQ,1.72,-9.59,-23.29,-16.83,-10.5,4150.0,2020,2020-01
275.0,000210,대림산업,,2019-12-30,KOSPI,0.67,-12.98,-21.3,-11.71,-10.5,81777.0,2020,2020-01
276.0,282330,BGF리테일,,2019-12-30,KOSPI,0.89,-13.96,-19.67,-16.91,-2.7,169500.0,2020,2020-01
277.0,048260,오스템임플란트,,2019-12-30,KOSDAQ,5.88,1.44,-43.53,-20.94,0.5,358670.0,2020,2020-01
278.0,088350,한화생명,,2019-12-30,KOSPI,0.87,-2.94,-29.47,-45.26,-11.3,2310.0,2020,2020-01
279.0,003380,하림지주,,2019-12-30,KOSDAQ,9.59,-9.02,-24.16,-25.48,-9.2,8570.0,2020,2020-01
280.0,045390,대아티아이,,2019-12-30,KOSDAQ,3.97,-18.76,-16.56,-36.18,-10.3,5240.0,2020,2020-01
281.0,008930,한미사이언스,,2019-12-30,KOSPI,0.26,-1.39,-42.74,-50.57,-16.0,36229.0,2020,2020-01
282.0,010060,OCI,,2019-12-30,KOSPI,1.13,-9.93,-32.9,-41.49,-10.9,49746.0,2020,2020-01
283.0,004020,현대제철,,2019-12-30,KOSPI,-0.94,-19.15,-24.76,-30.5,-10.0,31450.0,2020,2020-01
284.0,008560,메리츠종금증권,,2019-12-30,KOSPI,-10.82,-24.95,-29.29,-11.45,-3.4,3790.0,2020,2020-01
285.0,042000,카페24,,2019-12-30,KOSDAQ,4.6,-20.0,-16.61,-53.37,-3.7,25667.0,2020,2020-01
286.0,086900,메디톡스,,2019-12-30,KOSDAQ,2.3,-14.12,-31.28,-46.48,8.0,251399.0,2020,2020-01
287.0,017800,현대엘리베이,,2019-12-30,KOSPI,-3.8,-23.52,-24.7,-36.17,-11.0,45550.0,2020,2020-01
288.0,064350,현대로템,,2019-12-30,KOSPI,2.97,-20.0,-25.89,-43.99,-8.7,15600.0,2020,2020-01
289.0,025980,아난티,,2019-12-30,KOSDAQ,-5.02,-24.09,-31.58,-44.53,-12.8,10400.0,2020,2020-01
290.0,038540,상상인,,2019-12-30,KOSDAQ,5.73,-32.53,-53.53,-41.56,-7.2,8670.0,2020,2020-01
