투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,251270,넷마블,KOSPI,0.91,-5.97,-8.23,11.07,4069332420150,49650,246576,-11.28
2026,2026-05,2026-04-30,000500,가온전선,KOSPI,147.69,175.68,187.5,300.5,3995162272500,241500,147466,65.22
2026,2026-05,2026-04-30,336260,두산퓨얼셀,KOSPI,82.04,79.09,42.39,298.43,3982018540800,60800,1462622,51.32
2026,2026-05,2026-04-30,051900,LG생활건강,KOSPI,2.83,-3.24,-10.72,-24.74,3886824586000,254000,81025,11.42
2026,2026-05,2026-04-30,017800,현대엘리베이터,KOSPI,18.49,4.56,30.38,33.56,3858418399500,98700,145581,-5.67
2026,2026-05,2026-04-30,004170,신세계,KOSPI,35.44,27.39,134.31,157.43,3844188667000,407000,66865,31.45
2026,2026-05,2026-04-30,375500,DL이앤씨,KOSPI,48.2,122.97,131.85,127.85,3830668677000,99000,1136537,-14.14
2026,2026-05,2026-04-30,023530,롯데쇼핑,KOSPI,25.05,61.07,107.83,99.56,3827468551500,135300,133222,29.86
2026,2026-05,2026-04-30,004800,효성,KOSPI,77.43,49.21,79.95,329.38,3816812796000,228000,90746,7.89
2026,2026-05,2026-04-30,097950,CJ제일제당,KOSPI,13.86,15.46,7.41,3.14,3710856849000,246500,98535,-6.49
2026,2026-05,2026-04-30,011780,금호석유화학,KOSPI,24.34,1.73,26.38,23.4,3688063845000,146600,164317,1.77
2026,2026-05,2026-04-30,035250,강원랜드,KOSPI,1.84,-1.38,1.9,6.17,3679776600000,17200,508560,-5.7
2026,2026-05,2026-04-30,111770,영원무역,KOSPI,5.61,-8.8,43.43,75.08,3673420697200,82900,95827,-3.14
2026,2026-05,2026-04-30,457190,이수스페셜티케미컬,KOSPI,36.06,14.19,119.31,182.23,3671592948000,121500,325714,-10.45
2026,2026-05,2026-04-30,012510,더존비즈온,KOSPI,0.76,23.2,34.68,96.4,3647378400000,120000,44459,0.0
2026,2026-05,2026-04-30,036460,한국가스공사,KOSPI,11.87,-2.62,-6.24,0.64,3609438300000,39100,395777,-3.45
2026,2026-05,2026-04-30,071970,HD현대마린엔진,KOSPI,54.0,19.55,6.55,186.72,3588894171000,105800,335725,-20.42
2026,2026-05,2026-04-30,020150,롯데에너지머티리얼즈,KOSPI,61.11,71.69,156.54,194.48,3492776382100,66700,462540,0.3
2026,2026-05,2026-04-30,439260,대한조선,KOSPI,4.43,28.59,20.78,0.0,3448104924000,89500,167663,-18.44
2026,2026-05,2026-04-30,302440,SK바이오사이언스,KOSPI,3.24,-15.09,-15.09,8.71,3377554606650,43050,101657,0.35
2026,2026-05,2026-04-30,031210,서울보증보험,KOSPI,-8.43,-4.21,-5.35,34.46,3337472384400,47800,70122,-2.93
2026,2026-05,2026-04-30,012750,에스원,KOSPI,0.47,8.17,14.8,35.59,3271729225800,86100,39500,-11.73
2026,2026-05,2026-04-30,006360,GS건설,KOSPI,51.59,102.72,103.58,108.49,3256375694500,38050,4058929,-8.41
2026,2026-05,2026-04-30,014680,한솔케미칼,KOSPI,12.87,0.88,22.58,146.33,3240505575000,285000,47539,17.89
2026,2026-05,2026-04-30,001720,신영증권,KOSPI,6.89,11.61,36.02,120.72,3240324000000,197100,10532,-4.21
2026,2026-05,2026-04-30,139130,iM금융지주,KOSPI,14.3,23.23,44.37,85.8,3067929535300,19100,971810,0.94
2026,2026-05,2026-04-30,004990,롯데지주,KOSPI,11.9,-2.71,4.44,35.18,3044728356800,30550,241080,-3.93
2026,2026-05,2026-04-30,112610,씨에스윈드,KOSPI,20.13,76.14,64.03,84.54,3019472454800,71600,344209,-22.77
2026,2026-05,2026-04-30,028670,팬오션,KOSPI,13.18,17.87,44.65,66.12,2961515096480,5540,2856027,10.47
2026,2026-05,2026-04-30,086520,에코프로,KOSDAQ,9.61,-5.91,73.75,199.8,20760173640800,152900,135,-6.93
2026,2026-05,2026-04-30,247540,에코프로비엠,KOSDAQ,7.18,-11.21,28.75,102.96,20153069404000,206000,496622,1.46
2026,2026-05,2026-04-30,196170,알테오젠,KOSDAQ,7.91,-10.77,-24.56,4.99,19727221145500,368500,263102,4.48
2026,2026-05,2026-04-30,277810,레인보우로보틱스,KOSDAQ,27.45,-8.79,52.12,145.47,12881505712000,664000,6,26.66
2026,2026-05,2026-04-30,000250,삼천당제약,KOSDAQ,-49.88,-13.53,77.56,195.31,9746579616000,415500,161654,-2.53
2026,2026-05,2026-04-30,058470,리노공업,KOSDAQ,26.38,12.65,106.76,230.47,9092073705000,119300,2627349,-4.27
2026,2026-05,2026-04-30,950160,코오롱티슈진,KOSDAQ,-4.4,-2.86,127.68,167.72,8643077100000,102000,407,12.06
2026,2026-05,2026-04-30,028300,HLB,KOSDAQ,20.16,9.55,25.1,6.85,8096235068800,60800,418522,-12.5
2026,2026-05,2026-04-30,298380,에이비엘바이오,KOSDAQ,-18.75,-31.82,35.21,106.75,7547110012400,134800,663414,-6.82
2026,2026-05,2026-04-30,141080,리가켐바이오,KOSDAQ,-4.48,-9.66,25.27,74.67,6789361261200,183400,292336,6.82
2026,2026-05,2026-04-30,087010,펩트론,KOSDAQ,-11.24,-14.73,-3.7,59.52,6074169675000,260500,115725,2.3
