지수,연도,사이클4,사이클8,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
KOSPI,1992,4,4,0.1139,-0.0999,-0.0101,0.0159,-0.0678,-0.0386,-0.0762,0.1036,-0.087,0.198,0.0776,0.0227
KOSPI,1993,1,1,-0.0116,-0.0412,0.037,0.0822,0.0426,-0.0046,-0.0253,-0.0891,0.0812,0.0443,0.0804,0.068
KOSPI,1994,2,2,0.0918,-0.0284,-0.0562,0.0479,0.0339,-0.0065,-0.0058,0.0175,0.1126,0.0525,-0.0282,-0.0438
KOSPI,1995,3,3,-0.0991,-0.0431,0.052,-0.0373,-0.0162,0.0135,0.0438,-0.0209,0.075,0.0077,-0.0599,-0.0515
KOSPI,1996,4,4,-0.0047,-0.0296,0.025,0.1221,-0.0793,-0.0949,0.0052,-0.0489,0.0105,-0.0406,-0.0411,-0.1036
KOSPI,1997,1,5,0.0532,-0.0136,0.0012,0.0382,0.0761,-0.015,-0.0259,-0.0423,-0.0694,-0.2725,-0.1337,-0.0774
KOSPI,1998,2,6,0.5077,-0.0148,-0.1394,-0.1244,-0.2117,-0.1029,0.1526,-0.0966,0.0005,0.3001,0.1201,0.2447
KOSPI,1999,3,7,0.0159,-0.0899,0.1902,0.2159,-0.022,0.1997,0.0982,-0.0328,-0.1084,-0.0032,0.1957,0.0315
KOSPI,2000,4,8,-0.0819,-0.1224,0.0393,-0.1574,0.0089,0.1221,-0.1403,-0.0246,-0.1095,-0.161,-0.0102,-0.0091
KOSPI,2001,1,1,0.2245,-0.0644,-0.0949,0.1035,0.0603,-0.0278,-0.09,0.0066,-0.12,0.1212,0.1972,0.0774
KOSPI,2002,2,2,0.0784,0.0961,0.0922,-0.0594,-0.0545,-0.0674,-0.0333,0.0256,-0.1222,0.0193,0.1,-0.1342
KOSPI,2003,3,3,-0.0569,-0.0278,-0.069,0.1188,0.0568,0.0576,0.0651,0.0644,-0.0816,0.1216,0.0177,0.0182
KOSPI,2004,4,4,0.0466,0.0412,-0.0033,-0.0201,-0.0684,-0.0225,-0.0642,0.0928,0.0392,-0.0003,0.0518,0.0203
KOSPI,2005,1,5,0.0411,0.0843,-0.0452,-0.0563,0.0646,0.0391,0.1023,-0.0252,0.1271,-0.0515,0.1203,0.0631
KOSPI,2006,2,6,0.0148,-0.0202,-0.0087,0.0442,-0.0719,-0.0171,0.0021,0.0423,0.0138,-0.005,0.0496,0.0016
KOSPI,2007,3,7,-0.0517,0.042,0.0248,0.0617,0.1029,0.0251,0.1088,-0.0311,0.0391,0.0608,-0.0769,-0.0047
