투자연도,투자월,종목선정일,시장,종목명,종목코드,시가총액,종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
2026,2026-07,2026-06-30,NYSE,Visa Inc,V,0,341.6499938964844,4.69,13.04,-2.58,-3.77,5.55
2026,2026-07,2026-06-30,NASDAQ,AST SpaceMobile Inc,ASTS,0,86.7699966430664,-23.49,4.71,19.47,85.68,-4.2
2026,2026-07,2026-06-30,NYSE,Eli Lilly and Co,LLY,0,1229.9300537109375,11.31,33.72,14.45,57.78,1.21
2026,2026-07,2026-06-30,NASDAQ,J B Hunt Transport Services Inc,JBHT,0,287.8900146484375,4.15,35.86,48.14,100.48,-1.24
2026,2026-07,2026-06-30,NYSE,JPMorgan Chase & Co,JPM,0,329.3900146484375,10.05,11.98,2.23,13.62,2.18
2026,2026-07,2026-06-30,NYSE,Abbvie Inc,ABBV,0,254.3099975585937,16.81,16.93,11.3,37.01,3.75
2026,2026-07,2026-06-30,NYSE,Johnson & Johnson,JNJ,0,258.510009765625,14.73,5.76,24.91,69.24,3.57
2026,2026-07,2026-06-30,NYSE,Oracle Corp,ORCL,0,147.75999450683594,-34.56,0.44,-24.19,-32.42,-4.29
2026,2026-07,2026-06-30,NYSE,Exxon Mobil Corp,XOM,0,136.05999755859375,-6.33,-19.8,13.06,26.22,0.27
2026,2026-07,2026-06-30,NYSE,Caterpillar Inc,CAT,0,1033.18994140625,17.96,45.84,80.35,166.14,-9.52
2026,2026-07,2026-06-30,NYSE,Berkshire Hathaway Inc Class A,BRK-A,0,743510.0,4.59,3.53,-1.5,2.02,1.7
2026,2026-07,2026-06-30,NYSE,Mastercard Inc,MA,0,509.6400146484375,3.17,2.0,-10.73,-9.31,5.02
2026,2026-07,2026-06-30,NYSE,Bank of America Corp,BAC,0,57.880001068115234,12.17,18.73,5.24,22.32,3.07
2026,2026-07,2026-06-30,NYSE,UnitedHealth Group Inc,UNH,0,419.8200073242188,10.39,55.15,27.18,34.57,2.34
2026,2026-07,2026-06-30,NYSE,Procter & Gamble Co,PG,0,148.4499969482422,3.41,2.78,3.59,-6.82,3.25
2026,2026-07,2026-06-30,NYSE,Home Depot Inc,HD,0,350.8099975585937,10.62,6.66,1.95,-4.32,1.48
2026,2026-07,2026-06-30,NYSE,Morgan Stanley,MS,0,211.72000122070312,1.79,28.65,19.26,50.31,2.34
2026,2026-07,2026-06-30,NYSE,Chevron Corp,CVX,0,168.47000122070312,-7.67,-18.57,10.54,17.65,2.08
2026,2026-07,2026-06-30,NYSE,Sumitomo Mitsui Financial Group  Inc ADR,SMFG,0,23.709999084472656,7.92,20.05,22.66,56.92,4.03
2026,2026-07,2026-06-30,NYSE,HSBC Holdings PLC ADR,HSBC,0,95.08000183105467,1.43,15.26,20.86,56.41,1.78
2026,2026-07,2026-06-30,NYSE,General Electric Co,GE,0,373.7099914550781,15.43,31.69,21.32,45.19,1.01
2026,2026-07,2026-06-30,NYSE,GE Vernova Inc,GEV,0,1102.510009765625,13.86,26.3,68.69,108.35,-5.26
2026,2026-07,2026-06-30,NYSE,Coca-Cola Co,KO,0,82.6500015258789,4.61,8.68,18.22,16.82,3.53
2026,2026-07,2026-06-30,NYSE,Royal Bank of Canada,RY,0,204.7899932861328,8.05,26.59,20.12,55.67,-1.05
2026,2026-07,2026-06-30,NYSE,Goldman Sachs Group Inc,GS,0,1020.2100219726562,-0.52,20.59,16.06,44.15,0.95
2026,2026-07,2026-06-30,NYSE,Novartis AG ADR,NVS,0,157.58999633789062,4.94,3.17,14.3,30.23,2.03
2026,2026-07,2026-06-30,NYSE,Philip Morris International Inc,PM,0,182.8699951171875,3.1,10.6,14.01,0.41,0.75
2026,2026-07,2026-06-30,NYSE,Dell Technologies Inc,DELL,0,414.6099853515625,-1.5,152.61,229.37,238.18,-8.61
2026,2026-07,2026-06-30,NYSE,Merck & Co Inc,MRK,0,129.3800048828125,8.98,7.56,22.91,63.44,0.82
2026,2026-07,2026-06-30,NYSE,RTX Corp,RTX,0,187.3300018310547,4.27,-2.89,2.14,28.29,5.02
2026,2026-07,2026-06-30,NYSE,Wells Fargo & Co,WFC,0,83.51000213623047,7.7,4.9,-10.4,4.23,3.47
2026,2026-07,2026-06-30,NYSE,International Business Machines Corp,IBM,0,278.0,-6.65,14.69,-6.15,-5.69,2.96
2026,2026-07,2026-06-30,NYSE,Mitsubishi UFJ Financial Group Inc ADR,MUFG,0,19.979999542236328,6.79,17.74,25.98,45.63,3.62
2026,2026-07,2026-06-30,NYSE,American Express Co,AXP,0,340.8800048828125,7.71,12.7,-7.86,6.87,4.05
2026,2026-07,2026-06-30,NYSE,Arista Networks Inc,ANET,0,164.10000610351562,2.9,33.65,25.24,60.39,-5.82
2026,2026-07,2026-06-30,NYSE,Alibaba Group Holding Ltd ADR,BABA,0,95.51000213623048,-23.11,-23.87,-34.84,-15.78,0.17
2026,2026-07,2026-06-30,NYSE,AstraZeneca PLC,AZN,0,190.9499969482422,2.84,-3.18,3.86,36.63,2.92
2026,2026-07,2026-06-30,NYSE,Citigroup Inc,C,0,142.49000549316406,13.18,25.64,22.11,67.4,0.01
2026,2026-07,2026-06-30,NYSE,Amphenol Corp,APH,0,166.4199981689453,11.87,31.71,23.15,68.53,-6.65
2026,2026-07,2026-06-30,NYSE,BHP Group Ltd ADR,BHP,0,81.73999786376953,-8.06,12.37,35.4,69.97,0.02
2026,2026-07,2026-06-30,NYSE,Corning Inc,GLW,0,255.69000244140625,41.14,88.05,192.02,386.2,-22.96
2026,2026-07,2026-06-30,NYSE,Toyota Motor Corp ADR,TM,0,171.36000061035156,-9.79,-16.85,-19.95,-0.52,3.66
2026,2026-07,2026-06-30,NYSE,Banco Santander SA ADR,SAN,0,13.649999618530272,9.38,21.01,16.37,64.46,1.09
2026,2026-07,2026-06-30,NYSE,Toronto-Dominion Bank,TD,0,120.33000183105467,5.94,28.96,27.74,63.83,-1.75
2026,2026-07,2026-06-30,NYSE,McDonald's Corp,MCD,0,267.17999267578125,-4.31,-14.03,-12.58,-8.55,3.82
2026,2026-07,2026-06-30,NYSE,Shell PLC ADR,SHEL,0,76.88999938964844,-8.59,-17.32,4.64,9.2,0.62
2026,2026-07,2026-06-30,NYSE,Verizon Communications Inc,VZ,0,44.09999847412109,-7.76,-12.15,8.27,1.92,0.52
2026,2026-07,2026-06-30,NYSE,TotalEnergies SE,TTE,0,77.66999816894531,-11.05,-14.63,18.73,26.52,-1.38
2026,2026-07,2026-06-30,NYSE,UBS Group AG,UBS,0,49.4900016784668,5.12,26.67,6.87,46.33,2.99
2026,2026-07,2026-06-30,NYSE,SAP SE ADR,SAP,0,154.89999389648438,-14.79,-9.53,-36.23,-49.06,5.5
