종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-03-31,NYSE,Accenture PLC,ACN,0,198.29,-5,-26.1,-19.6,-36.5,-22.21,-15.36,-33.11,-25.6,-9.46,
2026-03-31,NASDAQ,Roper Technologies Inc,ROP,0,353.86,1.2,-20.5,-29,-40,-21.43,-29.87,-40.68,-26.1,-3.03,
2026-03-31,NASDAQ,Shopify Inc,SHOP,0,118.62,-1.7,-26.3,-20.2,24.2,-25,-18.76,26.45,-26.3,-6.6,
2026-03-31,NASDAQ,Automatic Data Processing Inc,ADP,0,203.18,-5.2,-21,-30.8,-33.5,-16.67,-26.96,-29.84,-26.5,-7.08,
2026-03-31,NASDAQ,Microsoft Corp,MSFT,0,370.17,-5.7,-23.5,-28.5,-1.4,-18.79,-24.17,4.62,-27.3,0.19,
2026-03-31,NASDAQ,PayPal Holdings Inc,PYPL,0,45.23,-2.1,-22.5,-32.6,-30.7,-20.85,-31.09,-29.18,-28.6,0.02,
2026-03-31,NYSE,Salesforce Inc,CRM,0,186.67,-4.2,-29.5,-21.2,-30.4,-26.47,-17.81,-27.41,-28.8,-11.63,
2026-03-31,NYSE,Blackstone Inc,BX,0,114.99,1.4,-25.4,-32.7,-17.7,-26.45,-33.64,-18.89,-31,-0.14,
2026-03-31,NYSE,HDFC Bank Ltd ADR,HDB,0,24.88,-21.9,-31.9,-27.2,-25.1,-12.84,-6.76,-4.12,-31,7.44,
2026-03-31,NYSE,KKR & Co Inc,KKR,0,92.5,5.5,-27.4,-28.8,-20,-31.22,-32.53,-24.16,-31.3,-1.38,
2026-03-31,NASDAQ,Axon Enterprise Inc,AXON,0,424.69,-21.7,-25.2,-40.8,-19.3,-4.5,-24.42,3.13,-31.8,-18.54,
2026-03-31,NYSE,Novo Nordisk A/S ADR,NVO,0,36.75,-1.9,-27.8,-33.8,-47.1,-26.4,-32.51,-46.07,-32.8,2.1,
2026-03-31,NASDAQ,Adobe Inc,ADBE,0,243.08,-7.4,-30.5,-31.1,-36.6,-25.02,-25.61,-31.58,-33.1,-7.29,
2026-03-31,NASDAQ,Fiserv Inc,FISV,0,55.8,-10.4,-16.9,-56.7,-74.7,-7.27,-51.69,-71.79,-33.5,0.52,
2026-03-31,NYSE,SAP SE ADR,SAP,0,171.21,-15,-29.5,-35.9,-36.2,-17.04,-24.58,-24.93,-33.5,-4.74,
2026-03-31,NASDAQ,Trip.com Group Ltd ADR,TCOM,0,49.79,-5.4,-30.8,-33.8,-21.7,-26.83,-30.03,-17.24,-34.5,3.07,
2026-03-31,NASDAQ,Coinbase Global Inc,COIN,0,174.61,-0.7,-22.8,-48.3,1.4,-22.24,-47.89,2.1,-35.2,-3.87,
2026-03-31,NYSE,Oracle Corp,ORCL,0,147.11,1.2,-24.5,-47.7,5.2,-25.4,-48.3,4,-36.4,-6.13,
2026-03-31,NYSE,Boston Scientific Corp,BSX,0,62.75,-18.3,-34.2,-35.7,-37.8,-19.4,-21.28,-23.82,-36.4,-1.53,
2026-03-31,NASDAQ,Strategy Inc,MSTR,0,124.8,-3.6,-17.9,-61.3,-56.7,-14.77,-59.81,-55.08,-36.7,3.08,
2026-03-31,NASDAQ,Thomson Reuters Corp,TRI,0,89.98,-6.7,-31.8,-42.1,-47.9,-26.9,-37.93,-44.2,-38.4,-7.46,
2026-03-31,NYSE,ServiceNow Inc,NOW,0,104.55,-3.2,-31.8,-43.2,-34.3,-29.49,-41.32,-32.17,-39.2,-20.61,
2026-03-31,NASDAQ,Intuit Inc,INTU,0,432.38,5.7,-34.7,-36.7,-29.6,-38.25,-40.1,-33.38,-39.6,-18.84,
2026-03-31,NASDAQ,DoorDash Inc,DASH,0,150.15,-14.9,-33.7,-44.8,-17.8,-22.08,-35.12,-3.45,-40,1.62,
2026-03-31,NASDAQ,Astera Labs  Inc,ALAB,0,109.6,-7.8,-34.1,-44,83.7,-28.57,-39.31,99.15,-40.7,35.99,
2026-03-31,NASDAQ,Applovin Corp,APP,0,398,-8.5,-40.9,-44.6,50.2,-35.48,-39.49,64.08,-45.7,-1.66,
2026-03-31,NASDAQ,Workday Inc,WDAY,0,129.92,-2.9,-39.5,-46,-44.4,-37.72,-44.44,-42.72,-45.8,-13.41,
2026-03-31,NASDAQ,Robinhood Markets Inc,HOOD,0,69.3,-8.6,-38.7,-51.6,66.5,-32.94,-47.02,82.24,-46.9,-0.16,
