종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-04-30,NYSE,British American Tobacco P.l.c ADR,BTI,0,58.8,0.6,-3.1,14.9,35.0,-3.64,14.22,34.26,3.7,12.84,122.0
2026-04-30,NYSE,Cloudflare Inc,NET,0,204.97,-0.7,15.6,-19.1,69.7,16.35,-18.54,70.84,3.3,-1.57,
2026-04-30,NASDAQ,CME Group Inc,CME,0,287.82,-2.5,-0.4,8.4,3.9,2.18,11.25,6.59,3.3,6.01,106.0
2026-04-30,NASDAQ,Cincinnati Financial Corp,CINF,0,163.6,4.0,1.7,5.8,17.5,-2.2,1.79,13.03,3.1,2.48,173.0
2026-04-30,NYSE,AT&T Inc,T,0,26.13,-9.9,-0.3,5.6,-5.7,10.61,17.13,4.66,3.0,-6.51,95.0
2026-04-30,NASDAQ,Synopsys Inc,SNPS,0,482.6,21.7,3.8,6.3,5.1,-14.76,-12.63,-13.62,3.0,3.28,250.0
2026-04-30,NASDAQ,Arch Capital Group Ltd,ACGL,0,94.46,-1.6,-1.6,9.4,4.2,-0.05,11.22,5.86,2.8,1.49,141.0
2026-04-30,NASDAQ,CoreWeave Inc,CRWV,0,111.6,44.1,19.8,-16.5,170.2,-16.87,-42.06,87.58,2.8,-7.02,222.0
2026-04-30,NASDAQ,Apple Inc,AAPL,0,271.35,6.9,4.6,0.4,27.7,-2.19,-6.13,19.43,2.7,9.76,183.0
2026-04-30,NYSE,Boeing Co,BA,0,229.03,15.1,-2.0,13.9,25.0,-14.84,-0.99,8.62,2.7,-3.68,201.0
2026-04-30,NASDAQ,Exelon Corp,EXC,0,45.99,-6.2,2.7,-0.3,-1.9,9.47,6.29,4.52,2.4,-4.39,94.0
2026-04-30,NASDAQ,Monster Beverage Corp,MNST,0,77.07,6.4,-4.6,15.3,28.2,-10.28,8.42,20.53,2.3,14.88,161.0
2026-04-30,NASDAQ,Netflix Inc,NFLX,0,93.61,-2.6,12.1,-16.3,-17.3,15.16,-14.06,-15.04,2.2,-4.23,193.0
2026-04-30,NYSE,Amphenol Corp,APH,0,147.27,16.6,2.2,5.7,91.4,-12.31,-9.32,64.2,2.2,-17.35,174.0
2026-04-30,NASDAQ,O'Reilly Automotive Inc,ORLY,0,99.4,7.7,1.0,5.3,5.4,-6.2,-2.26,-2.16,2.0,-7.71,186.0
2026-04-30,NYSE,American Tower Corp,AMT,0,182.71,5.9,1.9,2.1,-18.9,-3.74,-3.58,-23.44,1.6,-2.97,182.0
2026-04-30,NASDAQ,Fortinet Inc,FTNT,0,84.31,3.2,3.8,-2.5,-18.7,0.57,-5.45,-21.24,1.3,50.04,162.0
2026-04-30,NYSE,JPMorgan Chase & Co,JPM,0,313.23,6.5,2.4,0.7,28.0,-3.83,-5.45,20.25,1.3,-3.99,203.0
2026-04-30,NASDAQ,NVIDIA Corp,NVDA,0,199.57,14.4,4.4,-1.4,83.2,-8.75,-13.87,60.12,1.1,11.4,197.0
2026-04-30,NASDAQ,JD.com Inc ADR,JD,0,30.32,2.5,6.5,-8.2,-7.1,3.83,-10.5,-9.35,1.0,4.22,190.0
2026-04-30,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,707.06,-8.5,-4.6,8.5,18.1,4.21,18.54,29.04,1.0,-10.94,82.0
2026-04-30,NASDAQ,Medline Inc,MDLN,0,44.47,-0.1,0.6,0.0,0.0,0.68,0.07,0.07,0.4,-19.0,136.0
2026-04-30,NYSE,Philip Morris International Inc,PM,0,165.07,-0.2,-8.0,14.4,-3.7,-7.86,14.56,-3.51,0.2,16.01,137.0
2026-04-30,NASDAQ,Constellation Energy Corp,CEG,0,313.0,12.1,11.5,-17.0,40.1,-0.51,-25.93,24.98,0.1,-16.29,254.0
2026-04-30,NASDAQ,Expedia Group Inc,EXPE,0,248.37,7.6,-6.2,12.9,58.3,-12.82,4.95,47.13,0.0,-13.44,218.0
2026-04-30,NASDAQ,Electronic Arts Inc,EA,0,202.37,-0.7,-0.8,1.2,39.5,-0.02,1.9,40.51,0.0,-0.65,166.0
2026-04-30,NASDAQ,Huntington Bancshares Inc,HBAN,0,16.76,7.1,-4.1,8.5,15.3,-10.47,1.36,7.71,-0.2,-7.1,214.0
2026-04-30,NYSE,UBS Group AG,UBS,0,43.9,12.4,-6.9,14.4,45.2,-17.14,1.85,29.24,-0.3,5.44,225.0
2026-04-30,NYSE,Visa Inc,V,0,329.84,9.1,2.5,-3.2,-4.5,-6.09,-11.3,-12.52,-0.5,0.85,234.0
2026-04-30,NYSE,McKesson Corp,MCK,0,815.2,-5.8,-1.9,0.5,14.4,4.11,6.66,21.4,-0.6,-4.81,108.0
2026-04-30,NYSE,Bank of America Corp,BAC,0,53.46,9.7,0.5,0.0,34.1,-8.36,-8.79,22.24,-0.6,-5.18,216.0
2026-04-30,NYSE,Lloyds Banking Group PLC ADR,LYG,0,5.44,8.2,-8.9,15.5,37.7,-15.75,6.79,27.34,-0.8,-4.96,153.0
2026-04-30,NASDAQ,Honeywell International Inc,HON,0,214.33,-5.2,-5.8,6.5,8.0,-0.65,12.27,13.93,-1.0,1.35,69.0
2026-04-30,NYSE,Berkshire Hathaway Inc Class A,BRK.A,0,711900.0,-0.9,-1.5,-0.5,-11.1,-0.6,0.34,-10.29,-1.2,2.54,187.0
2026-04-30,NYSE,Berkshire Hathaway Inc Class B,BRK.B,0,473.6,-1.2,-1.4,-0.8,-11.2,-0.28,0.35,-10.14,-1.2,3.12,184.0
2026-04-30,NASDAQ,Gilead Sciences  Inc,GILD,0,130.84,-6.1,-7.8,9.2,22.8,-1.82,16.35,30.81,-1.2,-0.89,65.0
2026-04-30,NASDAQ,Nasdaq Inc,NDAQ,0,91.91,8.3,-5.1,7.5,20.6,-12.39,-0.7,11.39,-1.4,0.75,217.0
2026-04-30,NYSE,General Dynamics Corp,GD,0,344.3,0.3,-1.9,-0.2,26.5,-2.24,-0.49,26.13,-1.5,-0.35,147.0
2026-04-30,NYSE,Brookfield Corp,BN,0,45.12,11.5,-0.9,-2.0,26.1,-11.15,-12.12,13.11,-2.6,-0.13,224.0
2026-04-30,NASDAQ,T-Mobile US Inc,TMUS,0,195.5,-6.9,-0.9,-6.9,-20.8,6.5,-0.01,-14.95,-2.7,-2.48,172.0
2026-04-30,NYSE,Intercontinental Exchange Inc,ICE,0,158.09,0.5,-9.0,8.1,-5.9,-9.49,7.51,-6.36,-3.1,-1.33,181.0
2026-04-30,NYSE,Procter & Gamble Co,PG,0,147.09,1.8,-3.1,-2.2,-9.5,-4.83,-3.94,-11.15,-3.2,-3.2,169.0
2026-04-30,NYSE,Progressive Corp,PGR,0,201.28,1.5,-3.2,-2.3,-28.6,-4.69,-3.77,-29.64,-3.3,1.35,245.0
2026-04-30,NASDAQ,Sanofi SA ADR,SNY,0,46.58,-3.3,-1.0,-7.9,-15.2,2.42,-4.74,-12.32,-3.5,-6.53,163.0
2026-04-30,NYSE,Emerson Electric Co,EMR,0,140.44,7.2,-4.4,0.6,33.6,-10.85,-6.13,24.65,-3.6,-5.85,164.0
2026-04-30,NYSE,Eli Lilly and Co,LLY,0,934.6,1.6,-9.9,8.3,4.0,-11.32,6.6,2.32,-3.8,5.72,170.0
2026-04-30,NASDAQ,Comcast Corp,CMCSA,0,27.04,-5.8,-9.1,3.6,-15.6,-3.5,10.03,-10.43,-4.3,-7.8,154.0
2026-04-30,NYSE,AbbVie Inc,ABBV,0,211.32,-2.8,-5.2,-3.1,8.3,-2.48,-0.25,11.48,-4.6,-0.9,189.0
2026-04-30,NASDAQ,Fiserv Inc,FISV,0,62.65,12.3,-1.7,-6.1,-66.1,-12.44,-16.33,-69.77,-4.8,-9.56,286.0
2026-04-30,NYSE,McDonald's Corp,MCD,0,293.59,-5.5,-6.8,-1.6,-8.2,-1.34,4.14,-2.77,-4.9,-3.79,140.0
2026-04-30,NYSE,BlackRock Inc,BLK,0,1065.6,10.8,-4.8,-1.6,16.6,-14.05,-11.18,5.19,-5.1,1.9,231.0
2026-04-30,NYSE,Banco Bilbao Vizcaya Argentaria SA ADR,BBVA,0,22.12,2.1,-13.0,9.9,61.5,-14.79,7.6,58.1,-5.3,-0.36,160.0
2026-04-30,NASDAQ,Vertex Pharmaceuticals Inc,VRTX,0,427.38,-4.3,-9.0,0.4,-16.1,-4.97,4.93,-12.36,-5.7,2.15,128.0
2026-04-30,NASDAQ,Symbotic Inc,SYM,0,59.1,11.1,8.7,-27.0,173.9,-2.15,-34.28,146.52,-5.8,-20.39,200.0
2026-04-30,NYSE,Barclays PLC ADR,BCS,0,23.41,10.6,-12.5,8.9,45.8,-20.9,-1.54,31.76,-6.2,-2.01,211.0
2026-04-30,NASDAQ,Natera Inc,NTRA,0,206.16,3.1,-10.8,3.6,36.6,-13.48,0.53,32.51,-6.4,-6.61,157.0
2026-04-30,NYSE,General Electric Co,GE,0,289.93,2.2,-5.5,-6.2,43.9,-7.5,-8.15,40.8,-6.5,-1.36,194.0
2026-04-30,NASDAQ,Kraft Heinz Co,KHC,0,22.66,0.8,-4.5,-8.4,-22.1,-5.27,-9.06,-22.71,-6.6,3.05,212.0
2026-04-30,NASDAQ,Datadog Inc (Pre-Reincorporation),DDOG,0,132.19,12.0,2.2,-18.8,29.4,-8.71,-27.49,15.55,-7.2,57.97,246.0
2026-04-30,NASDAQ,argenx SE ADR,ARGX,0,781.72,7.0,-7.0,-4.5,21.2,-13.12,-10.78,13.19,-7.4,-0.7,205.0
2026-04-30,NYSE,Lowe's Companies Inc,LOW,0,238.79,1.1,-10.6,0.3,6.8,-11.53,-0.78,5.69,-7.4,-8.7,177.0
2026-04-30,NYSE,BROOKFIELD ASSET MANAGEMENT LTD,BAM,0,48.01,8.0,-3.4,-11.2,-10.0,-10.58,-17.78,-16.65,-7.7,1.27,
2026-04-30,NASDAQ,Palo Alto Networks Inc,PANW,0,179.32,11.9,1.3,-18.6,-4.1,-9.41,-27.21,-14.24,-7.7,38.05,251.0
2026-04-30,NASDAQ,CrowdStrike Holdings Inc,CRWD,0,445.75,14.2,1.0,-17.9,3.9,-11.55,-28.1,-8.97,-7.9,38.83,257.0
2026-04-30,NYSE,Mastercard Inc,MA,0,502.92,0.7,-6.7,-8.9,-8.2,-7.26,-9.48,-8.83,-8.3,0.57,232.0
2026-04-30,NASDAQ,Cintas Corp,CTAS,0,174.71,3.3,-8.7,-4.7,-17.5,-11.63,-7.71,-20.1,-8.3,-0.11,226.0
2026-04-30,NYSE,RTX Corp,RTX,0,176.07,-8.7,-12.4,-1.4,39.6,-4.0,8.07,52.94,-8.3,-0.07,105.0
2026-04-30,NASDAQ,Kimberly-Clark Corp,KMB,0,98.43,2.0,-1.6,-17.8,-25.3,-3.52,-19.41,-26.79,-8.4,-1.92,220.0
2026-04-30,NYSE,Wells Fargo & Co,WFC,0,82.23,3.3,-9.1,-5.5,15.8,-12.02,-8.46,12.11,-8.9,-9.56,223.0
2026-04-30,NYSE,HCA Healthcare Inc,HCA,0,434.45,-8.2,-11.0,-5.5,25.9,-3.08,2.95,37.14,-9.1,-2.68,124.0
2026-04-30,NYSE,Charles Schwab Corp,SCHW,0,91.64,-2.5,-11.8,-3.0,12.6,-9.57,-0.57,15.45,-9.2,0.82,185.0
2026-04-30,NYSE,Lockheed Martin Corp,LMT,0,517.97,-14.3,-18.3,5.3,8.4,-4.7,22.87,26.51,-9.3,2.0,48.0
2026-04-30,NYSE,Sherwin-Williams Co,SHW,0,321.61,0.3,-9.3,-6.8,-8.9,-9.61,-7.07,-9.17,-9.3,-5.85,176.0
2026-04-30,NYSE,Moody's Corp,MCO,0,461.85,5.9,-10.4,-3.8,1.9,-15.38,-9.17,-3.72,-9.4,-3.99,228.0
2026-04-30,NASDAQ,Take-Two Interactive Software Inc,TTWO,0,213.76,8.2,-3.0,-16.6,-8.4,-10.35,-22.96,-15.35,-9.5,13.29,271.0
2026-04-30,NYSE,Walt Disney Co,DIS,0,103.75,7.6,-8.0,-7.9,14.1,-14.56,-14.42,5.97,-9.5,0.15,244.0
2026-04-30,NYSE,Marsh & McLennan Companies Inc,MRSH,0,167.71,-3.3,-10.9,-5.9,-25.6,-7.83,-2.64,-23.07,-9.6,-1.03,208.0
2026-04-30,NASDAQ,United Airlines Holdings Inc,UAL,0,90.0,-2.2,-12.0,-4.3,30.8,-10.02,-2.09,33.78,-9.9,2.83,230.0
2026-04-30,NYSE,Northrop Grumman Corp,NOC,0,579.48,-15.1,-16.3,-0.7,19.1,-1.45,16.93,40.23,-10.2,-5.09,67.0
2026-04-30,NYSE,American Express Co,AXP,0,323.05,6.8,-8.3,-10.4,21.3,-14.11,-16.15,13.54,-10.6,-3.35,243.0
2026-04-30,NASDAQ,PDD Holdings Inc ADR,PDD,0,99.88,-2.3,-1.2,-25.9,-5.4,1.12,-24.24,-3.21,-11.0,-4.92,242.0
2026-04-30,NASDAQ,BeOne Medicines AG ADR,ONC,0,295.27,-0.6,-13.3,-4.9,13.6,-12.75,-4.35,14.3,-11.2,-0.74,195.0
