순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
17,NYSE,VZ,VERIZON COMMUNICATIONS INC,109329.2,2002-06-28,40.15,10.812,-6.62,-12.15,-14.0,-22.62,-16.99
18,NYSE,BAC,BANK OF AMERICA CORP,108307.1,2002-06-28,35.18,19.804,-6.43,4.29,13.75,21.53,-5.48
19,NYSE,BRK.B,BERKSHIRE HATHAWAY INC,102771.7,2002-06-28,44.68,44.68,-9.63,-5.7,-11.52,-2.87,2.37
20,NASDAQ,CSCO,CISCO SYSTEMS INC,102066.2,2002-06-28,13.95,8.981,-11.6,-17.6,-22.97,-23.35,-5.46
21,NYSE,T,AT&T INC,101875.2,2002-06-28,30.5,6.255,-11.05,-17.93,-21.05,-21.87,-8.54
22,NYSE,ING,ING GROEP NV,98966.7,2002-06-28,25.43,9.771,-3.97,-3.99,1.52,-20.52,-16.67
23,NYSE,CVX,CHEVRON CORP,94470.9,2002-06-28,44.25,17.788,1.43,-1.18,0.39,0.91,-15.25
24,NYSE,MO,ALTRIA GROUP INC,93455.7,2002-06-28,43.68,2.45,-22.74,-16.01,-2.43,-7.41,5.43
25,NYSE,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,92357.6,2002-06-28,6.8,3.181,-13.06,12.96,9.88,-12.01,-0.03
26,NYSE,HD,HOME DEPOT INC,86495.6,2002-06-28,36.73,21.328,-11.78,-24.34,-27.83,-21.91,-15.93
27,NYSE,WFC,WELLS FARGO & COMPANY,85636.4,2002-06-28,25.03,12.863,-4.46,1.89,16.44,10.3,1.6
28,NASDAQ,PEP,PEPSICO INC,85221.1,2002-06-28,48.2,25.161,-7.01,-6.14,-0.44,10.34,-10.91
29,NASDAQ,PSKY,PARAMOUNT SKYDANCE CORP,78425.6,2002-06-28,44.37,24.852,-9.38,-8.27,0.5,-14.26,-12.26
30,NYSE,TM,TOYOTA MOTOR CORP,77113.0,2002-06-28,53.0,31.511,-4.28,-8.86,4.4,-24.22,-9.49
31,NASDAQ,MDLZ,MONDELEZ INTERNATIONAL INC,71048.2,2002-06-28,40.95,14.604,-4.48,6.3,21.14,33.49,-9.64
32,NYSE,UPS,UNITED PARCEL SERVICE INC,68975.8,2002-06-28,61.75,29.837,2.27,1.9,14.05,8.28,5.81
33,NYSE,NOK,NOKIA CORP,68599.4,2002-06-28,14.48,7.156,4.33,-30.18,-40.3,-34.0,-14.37
34,NYSE,WYE,WYETH,67905.2,2002-06-28,51.2,43.158,-7.75,-21.7,-15.91,-11.46,-22.07
35,NYSE,JPM,JPMORGAN CHASE & CO,67534.1,2002-06-28,33.92,17.205,-5.65,-3.93,-4.9,-19.54,-25.61
36,NASDAQ,DELL1,DELL INC,67179.0,2002-06-28,25.894,24.807,-2.65,0.12,-3.83,-0.04,-4.63
37,NYSE,TWX,TIME WARNER INC,65499.3,2002-06-28,44.13,30.369,-21.34,-37.8,-54.17,-72.25,-21.82
38,NYSE,LLY,ELI LILLY & CO,63406.0,2002-06-28,56.4,28.985,-12.83,-25.63,-27.55,-22.56,3.58
39,NYSE,NTTYY,NIPPON TELEGRAPH & TELEPHONE CORP,62498.9,2002-06-28,9.684,7.995,-8.9,6.4,27.76,-21.83,-1.5
40,NYSE,BLS,BELLSOUTH CORP,59045.3,2002-06-28,31.5,26.734,-5.35,-14.04,-16.54,-20.19,-14.21
