순위,시장,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
308,NASDAQ,ARGX,ARGENX SE,51733.8,2026-05-29,835.99,835.99,6.94,9.01,-8.33,45.83,10.04
309,NYSE,CVE,CENOVUS ENERGY INC,51693.8,2026-05-29,27.57,27.57,-5.71,24.35,56.59,116.1,-8.56
310,NYSE,AJG,ARTHUR J GALLAGHER & CO,51665.2,2026-05-29,201.11,200.461,-2.56,-11.6,-18.31,-41.54,26.63
311,NASDAQ,MCHP,MICROCHIP TECHNOLOGY INC,51307.8,2026-05-29,94.65,94.65,2.37,27.43,78.57,67.4,-11.09
312,NASDAQ,FAST,FASTENAL CO,50743.1,2026-05-29,44.2,44.2,-1.62,-3.48,10.6,9.17,6.58
313,NYSE,ABEV,AMBEV SA,50594.9,2026-05-29,3.21,3.21,9.93,1.58,33.69,40.6,-6.54
314,NASDAQ,EA,ELECTRONIC ARTS INC,50581.6,2026-05-29,201.72,201.72,-0.23,0.67,0.13,40.85,1.84
315,NASDAQ,CBRS,CEREBRAS SYSTEMS INC,50470.7,2026-05-29,236.99,236.99,,,,,-25.48
316,NYSE,TAK,TAKEDA PHARMACEUTICAL CO LTD,50428.4,2026-05-29,15.96,15.96,-4.32,-14.88,10.68,8.53,6.27
317,NYSE,ROK,ROCKWELL AUTOMATION INC,50191.2,2026-05-29,451.06,451.06,10.66,11.05,14.71,45.0,3.96
318,NYSE,DEO,DIAGEO PLC,50144.4,2026-05-29,82.46,82.46,2.24,-7.01,-9.15,-21.69,0.46
319,NYSE,ETR,ENTERGY CORP,49926.6,2026-05-29,109.05,109.05,-7.01,2.37,13.17,34.3,5.63
320,NASDAQ,COIN,COINBASE GLOBAL INC,49802.0,2026-05-29,189.03,189.03,0.67,7.5,-30.71,-23.1,-13.5
321,NYSE,EW,EDWARDS LIFESCIENCES CORP,49789.4,2026-05-29,86.47,86.47,3.56,0.0,-0.23,10.55,9.66
322,NASDAQ,XEL,XCEL ENERGY INC,49629.4,2026-05-29,79.5,79.5,-4.16,-3.94,-1.73,16.98,1.47
323,NYSE,CCJ,CAMECO CORP,49059.7,2026-05-29,112.7,112.7,-8.4,-4.81,27.58,92.93,-16.0
324,NASDAQ,FER,FERROVIAL NV,49009.8,2026-05-29,68.01,68.01,0.5,-6.89,5.52,37.69,-3.18
325,NYSE,AU,ANGLOGOLD ASHANTI PLC,48904.9,2026-05-29,96.84,96.84,4.56,-23.16,14.58,129.79,-15.24
326,NASDAQ,ADSK,AUTODESK INC,48806.4,2026-05-29,231.31,231.31,-2.4,-5.92,-23.75,-21.89,-8.18
327,NYSE,HEI,HEICO CORP,48626.6,2026-05-29,348.18,348.18,28.99,8.99,9.91,16.28,2.83
328,NASDAQ,EBAY,EBAY INC,48515.9,2026-05-29,109.27,109.27,5.9,21.01,32.8,51.27,4.98
329,NYSE,AZO,AUTOZONE INC,48362.6,2026-05-29,2935.19,2935.19,-20.76,-21.84,-25.77,-21.37,4.76
330,NASDAQ,MDLN,MEDLINE INC,48028.4,2026-05-29,36.56,36.56,-17.79,-23.05,,,17.64
331,NASDAQ,ON,ON SEMICONDUCTOR CORP,47271.4,2026-05-29,120.62,120.62,19.65,81.44,140.09,187.05,-24.47
332,NYSE,LNG,CHENIERE ENERGY INC,47119.8,2026-05-29,224.86,224.86,-18.03,-4.39,8.4,-4.19,13.4
333,NASDAQ,ODFL,OLD DOMINION FREIGHT LINE INC,46824.1,2026-05-29,225.15,224.874,5.99,11.03,66.95,41.53,-4.28
334,NASDAQ,EXC,EXELON CORP,46699.2,2026-05-29,45.64,45.214,-0.76,-6.96,-2.31,6.91,4.23
335,NYSE,CAH,CARDINAL HEALTH INC,46091.7,2026-05-29,196.8,196.8,2.03,-13.94,-6.83,28.87,21.8
336,NASDAQ,BIDU,BAIDU INC,46022.3,2026-05-29,135.31,135.31,6.94,8.74,15.76,65.21,-17.16
337,NYSE,MSCI,MSCI INC,45964.5,2026-05-29,631.38,631.38,7.15,10.82,12.85,13.51,-3.69
338,NYSE,FITB,FIFTH THIRD BANCORP,45252.1,2026-05-29,49.93,49.93,-1.64,1.8,16.87,35.4,16.0
339,NYSE,GRMN,GARMIN LTD,45112.9,2026-05-29,233.92,233.92,-6.86,-7.12,20.74,17.15,6.31
340,NYSE,XYZ,BLOCK INC,45067.1,2026-05-29,75.72,75.72,7.39,18.87,13.35,22.62,2.43
341,NYSE,IX,ORIX CORP,44501.4,2026-05-29,39.02,39.02,16.1,9.76,42.67,86.38,0.79
