순위,종목코드,종목명,시가총액,종목선정일,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
129,064350,현대로템,1420000000000.0,2015-01-30,-16.29,-23.57,-33.99,-42.11,7.78
130,004370,농심,1410000000000.0,2015-01-30,-8.32,-14.1,-10.44,-15.36,9.5
131,138040,메리츠금융지주,1390000000000.0,2015-01-30,8.11,3.4,29.29,37.98,21.27
132,002550,LIG손해보험,1380000000000.0,2015-01-30,-16.06,-16.52,-17.71,-26.87,4.35
133,006840,AK홀딩스,1340000000000.0,2015-01-30,26.56,39.81,64.77,165.79,-0.49
134,001680,대상,1310000000000.0,2015-01-30,13.92,-16.47,-22.35,7.49,-1.84
135,039490,키움증권,1290000000000.0,2015-01-30,26.9,29.71,20.74,7.14,7.35
136,000060,메리츠화재,1290000000000.0,2015-01-30,-2.01,-6.15,-5.79,-18.94,7.38
137,079160,CJ CGV,1290000000000.0,2015-01-30,12.96,17.08,32.75,25.51,5.41
138,017800,현대엘리베이,1280000000000.0,2015-01-30,11.88,47.9,68.83,42.08,8.61
139,006120,SK케미칼,1270000000000.0,2015-01-30,-4.53,1.33,-7.42,4.27,-0.49
140,071840,롯데하이마트,1270000000000.0,2015-01-30,-20.15,-18.46,-21.2,-30.18,4.82
141,049770,동원F&B,1270000000000.0,2015-01-30,12.52,-8.76,64.0,146.61,16.46
142,003620,쌍용차,1260000000000.0,2015-01-30,-0.54,24.46,17.48,11.64,8.58
143,003240,태광산업,1260000000000.0,2015-01-30,-2.42,-12.22,-18.26,-19.66,3.28
144,003300,한일시멘트,1250000000000.0,2015-01-30,13.75,19.93,30.32,83.49,2.11
145,003690,코리안리,1230000000000.0,2015-01-30,-5.56,-10.53,-10.53,-9.73,1.97
146,009970,영원무역홀딩스,1230000000000.0,2015-01-30,1.24,-18.55,13.92,23.29,-1.89
147,012450,삼성테크윈,1220000000000.0,2015-01-30,-3.77,-27.83,-53.4,-56.7,8.5
148,161890,한국콜마,1220000000000.0,2015-01-30,30.99,12.26,21.22,102.46,6.41
149,008560,메리츠종금증권,1200000000000.0,2015-01-30,-2.28,-11.72,34.69,115.43,19.1
150,082640,동양생명,1180000000000.0,2015-01-30,2.33,-3.08,8.91,1.38,8.18
151,081660,휠라코리아,1180000000000.0,2015-01-30,-1.79,-1.35,20.86,31.29,-15.07
152,120110,코오롱인더,1170000000000.0,2015-01-30,-3.93,-13.98,-31.19,-7.47,8.93
153,001430,세아베스틸,1140000000000.0,2015-01-30,14.16,0.95,-7.81,34.67,8.95
154,181710,NHN엔터테인먼트,1130000000000.0,2015-01-30,-14.86,-4.73,7.82,-3.62,-1.18
155,003410,쌍용양회,1120000000000.0,2015-01-30,24.41,42.01,64.66,98.06,-1.35
156,011790,SKC,1100000000000.0,2015-01-30,13.72,7.27,-14.79,-2.58,11.9
157,006040,동원산업,1090000000000.0,2015-01-30,4.5,0.46,-2.4,9.43,0.77
158,069260,휴켐스,1080000000000.0,2015-01-30,5.58,13.98,3.52,14.97,-3.21
159,005250,녹십자홀딩스,1030000000000.0,2015-01-30,4.78,-1.13,35.19,64.66,0.46
160,033920,무학,1020000000000.0,2015-01-30,-1.33,10.84,9.88,103.52,19.3
161,128940,한미약품,1000000000000.0,2015-01-30,-4.12,13.85,5.84,-30.39,9.92
162,002990,금호산업,993000000000.0,2015-01-30,28.63,144.35,148.51,165.45,-10.1
163,039130,하나투어,992000000000.0,2015-01-30,9.63,23.77,33.23,19.44,14.29
164,122900,아이마켓코리아,985000000000.0,2015-01-30,-3.52,2.81,-16.08,-6.0,0.91
165,192820,코스맥스,981000000000.0,2015-01-30,9.33,-6.44,15.59,,18.81
166,004700,조광피혁,964000000000.0,2015-01-30,8.21,5.07,47.51,265.7,2.76
167,093050,LF,921000000000.0,2015-01-30,5.35,-5.69,10.92,7.51,0.0
168,024720,한국콜마홀딩스,902000000000.0,2015-01-30,27.31,7.63,114.84,287.32,-7.27
169,004000,삼성정밀화학,881000000000.0,2015-01-30,4.43,14.41,-20.77,-16.5,5.56
