투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-07,2026-06-30,069960,현대백화점,KOSPI,76.41,144.57,118.62,156.22,4177123454400,193700,263538,-18.48
2026,2026-07,2026-06-30,052690,한전기술,KOSPI,-19.66,-28.68,19.89,3.45,4123938000000,107900,101143,-9.55
2026,2026-07,2026-06-30,010060,OCI홀딩스,KOSPI,-38.63,14.22,86.2,194.64,4004764764000,214500,149908,-4.66
2026,2026-07,2026-06-30,088350,한화생명,KOSPI,-6.97,2.48,39.48,37.78,3943126200000,4540,2335172,-4.07
2026,2026-07,2026-06-30,018880,한온시스템,KOSPI,-31.88,2.54,29.34,33.11,3935716886920,3835,4884192,-10.3
2026,2026-07,2026-06-30,000500,가온전선,KOSPI,30.5,330.98,409.96,534.75,3862817352500,233500,374339,6.0
2026,2026-07,2026-06-30,004020,현대제철,KOSPI,-30.01,-16.49,-9.5,-4.42,3749826558500,28100,510113,-4.63
2026,2026-07,2026-06-30,336260,두산퓨얼셀,KOSPI,-38.73,67.66,94.11,149.44,3667648656000,56000,449384,-20.0
2026,2026-07,2026-06-30,103590,일진전기,KOSPI,-17.87,9.78,40.26,85.19,3638395257000,76300,636585,-20.05
2026,2026-07,2026-06-30,012510,더존비즈온,KOSPI,0.0,0.76,40.19,77.78,3494865960000,120000,0,0.0
2026,2026-07,2026-06-30,051900,LG생활건강,KOSPI,-7.27,-7.09,-11.22,-28.17,3436882528500,229500,55621,8.28
2026,2026-07,2026-06-30,022100,포스코DX,KOSPI,-33.28,-26.49,-24.7,-7.68,3291551882850,21650,332221,-13.44
2026,2026-07,2026-06-30,009420,한올바이오파마,KOSPI,-0.16,12.84,42.63,157.32,3259815811200,62400,809330,-11.54
2026,2026-07,2026-06-30,111770,영원무역,KOSPI,-8.68,-7.52,-11.25,14.87,3217012576800,72600,90797,16.53
2026,2026-07,2026-06-30,014680,한솔케미칼,KOSPI,7.78,15.25,27.91,69.48,3204753609000,291000,105475,-10.65
2026,2026-07,2026-06-30,450080,에코프로머티,KOSPI,-27.97,-33.13,-14.01,-1.32,3167611193600,44800,502742,-17.08
2026,2026-07,2026-06-30,251270,넷마블,KOSPI,-12.12,-24.09,-22.59,-39.76,3060256226850,37350,235207,2.14
2026,2026-07,2026-06-30,035250,강원랜드,KOSPI,-4.86,-15.33,-24.54,-21.86,3059349150000,14300,465844,2.66
2026,2026-07,2026-06-30,001450,현대해상,KOSPI,0.87,15.59,13.15,31.76,2970901512500,34850,346717,10.62
2026,2026-07,2026-06-30,383220,F&F,KOSPI,5.9,25.94,12.7,-2.28,2957306190000,77200,49962,3.5
2026,2026-07,2026-06-30,036460,한국가스공사,KOSPI,-10.0,-8.58,-18.7,-23.29,2949400350000,31950,168517,2.35
2026,2026-07,2026-06-30,004800,효성,KOSPI,-11.6,36.42,52.83,129.75,2934593347100,175300,20757,-16.2
2026,2026-07,2026-06-30,031210,서울보증보험,KOSPI,-4.93,-20.5,-16.58,-3.71,2897596317000,41500,31219,1.69
2026,2026-07,2026-06-30,483650,달바글로벌,KOSPI,17.51,63.03,56.95,17.57,2890199947500,231500,135383,-13.82
2026,2026-07,2026-06-30,011780,금호석유화학,KOSPI,-14.36,-3.9,-6.13,0.89,2850324922500,113300,99380,3.62
2026,2026-07,2026-06-30,085620,미래에셋생명,KOSPI,42.86,30.19,123.88,232.28,2838780000000,21000,342940,-20.71
2026,2026-07,2026-06-30,302440,SK바이오사이언스,KOSPI,-12.59,-14.27,-25.83,-25.13,2804821769750,35750,127079,1.54
2026,2026-07,2026-06-30,097950,CJ제일제당,KOSPI,-8.37,-14.5,-11.01,-25.66,2786529828600,185100,68193,3.67
2026,2026-07,2026-06-30,017800,현대엘리베이터,KOSPI,-9.77,-14.65,-19.48,-17.33,2779468573500,71100,116669,-3.38
2026,2026-07,2026-06-30,011170,롯데케미칼,KOSPI,-20.69,-20.6,-8.96,8.84,2737626816000,64000,114671,-5.31
2026,2026-07,2026-06-30,489790,한화비전,KOSPI,-19.23,-23.66,20.71,7.97,2736470738000,54200,356622,-19.74
2026,2026-07,2026-06-30,012750,에스원,KOSPI,4.24,-16.8,-1.11,3.94,2709341391400,71300,74585,0.56
2026,2026-07,2026-06-30,139130,iM금융지주,KOSPI,-3.06,0.6,8.1,33.73,2700099240230,16810,604184,8.39
2026,2026-07,2026-06-30,001720,신영증권,KOSPI,-5.93,-12.26,20.66,33.72,2659992000000,161800,12377,-6.37
2026,2026-07,2026-06-30,005850,에스엘,KOSPI,-24.5,2.35,32.32,81.44,2633631084000,56700,139140,-4.41
